Évek;Kód;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Salerno;IT031C;134820;132790;134023;133901;133282;132847;132741;131925;133885;135603;135261;134850;133970;132364;131556
Messina;IT064C;245159;243997;244710;244218;243970;243846;242914;242267;241997;240414;238439;236962;234293;229280;227424
Prato;IT065C;185660;185603;184490;183937;184868;185421;184885;187159;191268;191002;191150;192469;193325;193723;194223
Parma;IT066C;177069;178718;169117;172373;173922;175229;175842;177714;187938;190284;192836;194417;195687;198606;200455
Livorno;IT067C;160502;160949;156699;156857;156736;157002;156779;156998;160512;159542;159219;158916;158371;157457;157017
Reggio nell'Emilia;IT068C;159809;162290;154742;157631;159380;161615;162570;163928;172525;171655;171345;171491;171944;170887;171084
Ravenna;IT069C;151055;153388;147522;150096;151535;152734;153458;154288;158784;158911;159116;159057;159115;158923;158247
Ferrara;IT070C;133214;133591;131902;132636;132837;132880;132295;131842;133423;133682;133155;132009;132278;132931;132899
Rimini;IT071C;137523;138465;134697;136278;137680;138993;139727;143731;146856;147578;147750;148908;149403;148981;149335
Siracusa;IT072C;123324;123595;120638;120652;119848;119333;118442;118644;122304;122503;122291;122031;121605;119710;119056
Bergamo;IT073C;115645;115781;112172;112818;113858;115213;115374;115072;118717;119002;119381;120287;120923;120569;120783
Forlì;IT074C;113605;114683;113526;114721;115922;116121;116363;116029;118359;118255;117913;117946;117863;118360;118292
Latina;IT075C;114063;115490;113511;115355;117040;117731;117760;119426;125375;125496;125985;126151;126470;126952;127037
Vicenza;IT076C;114268;114108;111518;112100;112283;112288;111222;113639;113655;113599;112953;112198;111620;109837;109855
Terni;IT077C;109816;110933;107445;108452;109057;109480;109110;109382;112227;112133;111501;111455;111189;110554;110003
Novara;IT078C;102595;102862;100816;101265;101810;102105;101739;101933;104736;104452;104380;104284;104183;103278;103287
Riga;LV001C;727578;722485;697272;713016;673433;658637;649853;643615;643368;641007;639342;641201;632479;626147;621120
Liepaja;LV002C;85915;85477;81748;84747;78913;76737;74812;73469;71926;71125;70610;69406;68912;68569;68313
Vilnius;LT001C;553553;554409;555733;558165;543191;536127;533279;537152;539707;542626;543493;545280;547484;552131;561836
Kaunas;LT002C;360637;358111;355586;352279;329542;317319;310773;306888;304012;301357;297846;292691;288363;286754;289364
Panevežys;LT003C;115315;114582;113653;112619;103101;100027;98469;97343;96328;95202;93598;91054;88678;87139;85885
Budapest;HU001C;1698106;1696128;1702297;1712210;1721556;1729040;1727495;1735711;1744665;1757618;1759407;1752704;1749734;1752286;1750216
Miskolc;HU002C;174416;172637;171096;170234;169226;167754;164973;162905;161265;159554;158101;157177;155650;154521;152901
